Rk,Player,Pos,Tm,Cap Hit,year
,Darius Butler,DB,IND,"$3,000,000",2016
,Tyson Alualu,DT,JAX,"$3,000,000",2016
,Danny Woodhead,RB,SDG,"$3,000,000",2016
,Gosder Cherilus,T,TAM,"$3,000,000",2016
,Bobby Wagner,ILB,SEA,"$3,000,000",2016
,Michael Griffin,DB,CAR,"$3,000,000",2016
,Marvin Jones,WR,DET,"$3,000,000",2016
,William Hayes,DE,LAR,"$3,000,000",2016
,Nate Allen,DB,OAK,"$3,000,000",2016
,Ryan Mathews,RB,PHI,"$3,000,000",2016
,Justin Forsett,RB,3TM,"$3,000,000",2016
,Malcolm Smith,OLB,OAK,"$3,000,000",2016
,Adrian Clayborn,DL,ATL,"$3,000,000",2016
336.0,Dwayne Harris,WR,NYG,"$2,975,000",2016
337.0,Zach Miller,TE,CHI,"$2,968,750",2016
338.0,Travis Kelce,TE,KAN,"$2,948,226",2016
339.0,Ezekiel Ansah,DE,DET,"$2,940,621",2016
340.0,John Greco,T,CLE,"$2,925,000",2016
341.0,Paul Soliai,DT,CAR,"$2,906,250",2016
342.0,Virgil Green,TE,DEN,"$2,900,000",2016
,John Hughes,DT,2TM,"$2,900,000",2016
344.0,Jack Conklin,OT,TEN,"$2,890,483",2016
345.0,Leonard Floyd,OLB,CHI,"$2,869,611",2016
346.0,Dennis Kelly,OT,TEN,"$2,850,000",2016
,Mychal Kendricks,ILB,PHI,"$2,850,000",2016
348.0,Andy Lee,P,CAR,"$2,833,000",2016
349.0,EJ Manuel,QB,BUF,"$2,827,141",2016
350.0,Ted Ginn,WR,CAR,"$2,775,000",2016
351.0,Jarvis Jones,OLB,PIT,"$2,769,933",2016
352.0,Clinton McDonald,DT,TAM,"$2,750,000",2016
,Buster Skrine,DB,NYJ,"$2,750,000",2016
,Lee Smith,TE,OAK,"$2,750,000",2016
,Nick Folk,K,NYJ,"$2,750,000",2016
,Jared Cook,TE,GNB,"$2,750,000",2016
,Chris Clark,T,HOU,"$2,750,000",2016
