Rk,Unnamed: 1,Tm,Cap Hit
,Tyson Jackson,ATL,"$2,250,000"
,Jeremy Mincey,DAL,"$2,250,000"
,Calvin Pace,NYJ,"$2,250,000"
495.0,Blair Walsh,MIN,"$2,239,483"
496.0,Rashad Johnson,ARI,"$2,233,334"
497.0,Miles Austin,PHI,"$2,225,000"
498.0,Sharrif Floyd,MIN,"$2,202,600"
499.0,Kyle Fuller,CHI,"$2,201,591"
500.0,Roddy White,ATL,"$2,200,000"
,Brooks Reed,ATL,"$2,200,000"
,Virgil Green,DEN,"$2,200,000"
,Kraig Urbik,BUF,"$2,200,000"
504.0,Frostee Rucker,ARI,"$2,181,875"
505.0,Ryan Shazier,PIT,"$2,160,730"
506.0,Doug Martin,TAM,"$2,159,668"
507.0,Bjoern Werner,IND,"$2,153,562"
508.0,Alan Branch,NWE,"$2,150,000"
,Ramon Foster,PIT,"$2,150,000"
510.0,Bradley Fletcher,NWE,"$2,131,250"
511.0,Xavier Rhodes,MIN,"$2,129,046"
512.0,Danny Shelton,CLE,"$2,127,939"
513.0,Steve Johnson,SDG,"$2,100,000"
,Roy Helu,OAK,"$2,100,000"
515.0,Joe Barksdale,SDG,"$2,095,000"
516.0,Cullen Jenkins,NYG,"$2,091,668"
517.0,Shane Lechler,HOU,"$2,083,334"
518.0,Donnie Jones,PHI,"$2,083,333"
519.0,DeAndre Hopkins,HOU,"$2,080,010"
520.0,Andrus Peat,NOR,"$2,071,544"
521.0,Sylvester Williams,DEN,"$2,067,750"
522.0,Wallace Gilberry,CIN,"$2,050,000"
,Andy Lee,CLE,"$2,050,000"
524.0,Datone Jones,GNB,"$2,039,436"
525.0,Zack Martin,DAL,"$2,038,136"
526.0,Anthony Fasano,TEN,"$2,031,250"
527.0,Tarell Brown,NWE,"$2,000,000"
,Ron Parker,KAN,"$2,000,000"
,Cory Redding,ARI,"$2,000,000"
,Matt Cassel,2TM,"$2,000,000"
,Bilal Powell,NYJ,"$2,000,000"
,Cole Beasley,DAL,"$2,000,000"
,Brett Kern,TEN,"$2,000,000"
,Lyle Sendlein,ARI,"$2,000,000"
,C.J. Spiller,NOR,"$2,000,000"
,Kelvin Sheppard,MIA,"$2,000,000"
,Ricky Jean-Francois,WAS,"$2,000,000"
,J.T. Thomas,NYG,"$2,000,000"
,Patrick Robinson,SDG,"$2,000,000"
,Mark Ingram,NOR,"$2,000,000"
,Antonio Smith,DEN,"$2,000,000"
,Patrick Chung,NWE,"$2,000,000"
,Brice McCain,MIA,"$2,000,000"
,Ryan Mathews,PHI,"$2,000,000"
,Matt Schaub,BAL,"$2,000,000"
,James Ihedigbo,DET,"$2,000,000"
547.0,C.J. Mosley,BAL,"$1,997,273"
548.0,DeVante Parker,MIA,"$1,977,553"
549.0,Cordarrelle Patterson,MIN,"$1,969,377"
550.0,Rafael Bush,NOR,"$1,950,000"
,Mike Nugent,CIN,"$1,950,000"
,Jerricho Cotchery,CAR,"$1,950,000"
553.0,Calvin Pryor,NYJ,"$1,946,194"
554.0,Melvin Gordon,SDG,"$1,939,958"
555.0,Alec Ogletree,STL,"$1,917,282"
556.0,Ryan Succop,TEN,"$1,916,666"
557.0,Ja'Wuan James,MIA,"$1,915,545"
558.0,Brandin Cooks,NOR,"$1,905,330"
559.0,Ben Watson,NOR,"$1,900,000"
,Jeff Cumberland,NYJ,"$1,900,000"
,Jim Dray,CLE,"$1,900,000"
,Dannell Ellerbe,NOR,"$1,900,000"
563.0,Ha Ha Clinton-Dix,GNB,"$1,895,114"
564.0,Todd Herremans,IND,"$1,875,000"
,Daniel Kilgore,SFO,"$1,875,000"
566.0,Johnny Manziel,CLE,"$1,874,681"
567.0,Travis Frederick,DAL,"$1,873,644"
