Rk,Player,Pos,Tm,Salary,year
,De'Vondre Campbell,OLB,ATL,"$2,025,000",2019
,Kenyan Drake,RB,2TM,"$2,025,000",2019
,Blake Martinez,ILB,GNB,"$2,025,000",2019
,Matthew Ioannidis,DT,WAS,"$2,025,000",2019
,D.J. Reader,DT,HOU,"$2,025,000",2019
,Jordan Jenkins,OLB,NYJ,"$2,025,000",2019
,Justin Simmons,FS,DEN,"$2,025,000",2019
,Joe Schobert,OLB,CLE,"$2,025,000",2019
,Austin Hooper,TE,ATL,"$2,025,000",2019
,Blake Countess,CB,NYJ,"$2,025,000",2019
,Matt Judon,DE,BAL,"$2,025,000",2019
,Ryan Smith,CB,TAM,"$2,025,000",2019
,Wes Schweitzer,OT,ATL,"$2,025,000",2019
,Elandon Roberts,ILB,NWE,"$2,025,000",2019
,Brennan Scarlett,LB,HOU,"$2,025,000",2019
,Connor McGovern,OG,DEN,"$2,025,000",2019
,Graham Glasgow,OG,DET,"$2,025,000",2019
,Brandon Dunn,DT,HOU,"$2,025,000",2019
,Caleb Benenoch,OT,TAM,"$2,025,000",2019
,Carl Nassib,DE,TAM,"$2,025,000",2019
,Tajae Sharpe,WR,TEN,"$2,025,000",2019
,Anthony Brown,CB,DAL,"$2,025,000",2019
,Xavier Grimble,TE,PIT,"$2,025,000",2019
,Troy Hill,CB,LAR,"$2,025,000",2019
,Maliek Collins,DT,DAL,"$2,025,000",2019
,Ken Crawley,DB,2TM,"$2,025,000",2019
,Dean Lowry,DE,GNB,"$2,025,000",2019
,Halapoulivaati Vaitai,OT,PHI,"$2,025,000",2019
,Peyton Barber,RB,TAM,"$2,025,000",2019
,Jatavis Brown,OLB,LAC,"$2,025,000",2019
,Austin Blythe,C,LAR,"$2,025,000",2019
,Yannick Ngakoue,OLB,JAX,"$2,025,000",2019
,Brandon Shell,OT,NYJ,"$2,025,000",2019
,Nick Kwiatkoski,ILB,CHI,"$2,025,000",2019
,Rashard Higgins,WR,CLE,"$2,025,000",2019
,Kevin Byard,S,TEN,"$2,025,000",2019
,Josh Gordon,WR,2TM,"$2,025,000",2019
,Dak Prescott,QB,DAL,"$2,025,000",2019
,Joe Haeg,OT,IND,"$2,025,000",2019
,Javon Hargrave,DT,PIT,"$2,025,000",2019
,Trevor Williams,CB,ARI,"$2,025,000",2019
,David Onyemata,DT,NOR,"$2,025,000",2019
,Tyler Higbee,TE,LAR,"$2,025,000",2019
,Jalen Mills,CB,PHI,"$2,025,000",2019
,Kendall Fuller,CB,KAN,"$2,025,000",2019
,Alex Lewis,OT,NYJ,"$2,025,000",2019
,Jordan Lucas,SS,KAN,"$2,025,000",2019
407.0,John Ross,WR,CIN,"$2,020,988",2019
408.0,Eric Murray,CB,CLE,"$2,015,500",2019
,Demarcus Robinson,WR,KAN,"$2,015,500",2019
410.0,Kyler Fackrell,OLB,GNB,"$2,010,000",2019
411.0,Jordan Hicks,OLB,ARI,"$2,000,000",2019
,Beau Allen,DT,TAM,"$2,000,000",2019
,Jacoby Brissett,QB,IND,"$2,000,000",2019
,Lerentee McCray,LB,JAX,"$2,000,000",2019
,Nate Ebner,DB,NWE,"$2,000,000",2019
,Adam Humphries,WR,TEN,"$2,000,000",2019
,Jeff Heath,S,DAL,"$2,000,000",2019
,Stephen Hauschka,K,BUF,"$2,000,000",2019
,Ereck Flowers,OT,WAS,"$2,000,000",2019
,Nick Easton,C,NOR,"$2,000,000",2019
,Henry Anderson,DE,NYJ,"$2,000,000",2019
,Randall Cobb,WR,DAL,"$2,000,000",2019
,Mychal Kendricks,ILB,SEA,"$2,000,000",2019
,Nick Vigil,ILB,CIN,"$2,000,000",2019
,Angelo Blackson,DT,HOU,"$2,000,000",2019
,Laken Tomlinson,OG,SFO,"$2,000,000",2019
,Kevin Johnson,CB,BUF,"$2,000,000",2019
,Mark Ingram,RB,BAL,"$2,000,000",2019
,Jared Cook,TE,NOR,"$2,000,000",2019
,Earl Thomas,DB,BAL,"$2,000,000",2019
,Josh McCown,QB,PHI,"$2,000,000",2019
,Jimmie Ward,SS,SFO,"$2,000,000",2019
,Andre Roberts,WR,BUF,"$2,000,000",2019
,Jeff Heuerman,TE,DEN,"$2,000,000",2019
,Ty Sambrailo,OT,ATL,"$2,000,000",2019
,Lorenzo Alexander,LB,BUF,"$2,000,000",2019
,Andy Lee,P,ARI,"$2,000,000",2019
,Ha Ha Clinton-Dix,FS,CHI,"$2,000,000",2019
,Jason Witten,TE,DAL,"$2,000,000",2019
,Le'Veon Bell,RB,NYJ,"$2,000,000",2019
,Sean Lee,LB,DAL,"$2,000,000",2019
,Jason McCourty,DB,NWE,"$2,000,000",2019
,Breshad Perriman,WR,TAM,"$2,000,000",2019
,Michael Schofield,OT,LAC,"$2,000,000",2019
,James Carpenter,LG,ATL,"$2,000,000",2019
446.0,Joe Thuney,OG,NWE,"$1,995,000",2019
447.0,Golden Tate,WR,NYG,"$1,975,000",2019
448.0,Tyreek Hill,WR,KAN,"$1,965,036",2019
449.0,Taylor Decker,OT,DET,"$1,945,498",2019
450.0,Keanu Neal,FS,ATL,"$1,914,224",2019
451.0,Rontez Miles,FS,NYJ,"$1,907,000",2019
452.0,Greg Olsen,TE,CAR,"$1,900,000",2019
,Lee Smith,TE,BUF,"$1,900,000",2019
,Michael Thomas,S,NYG,"$1,900,000",2019
,Patrick Chung,DB,NWE,"$1,900,000",2019
456.0,Saquon Barkley,RB,NYG,"$1,897,943",2019
457.0,Ryan Kelly,C,IND,"$1,875,134",2019
458.0,Adam Vinatieri,K,IND,"$1,875,000",2019
459.0,Marshon Lattimore,CB,NOR,"$1,861,324",2019
460.0,Shaq Lawson,DE,BUF,"$1,851,679",2019
461.0,Darron Lee,OLB,KAN,"$1,843,861",2019
462.0,Will Fuller,WR,HOU,"$1,836,043",2019
463.0,Josh Doctson,WR,MIN,"$1,820,405",2019
464.0,Denzel Ward,CB,CLE,"$1,805,698",2019
465.0,Laquon Treadwell,WR,MIN,"$1,804,770",2019
466.0,Brett Kern,P,TEN,"$1,800,000",2019
,Jonathan Bostic,LB,WAS,"$1,800,000",2019
,Chris Jones,P,DAL,"$1,800,000",2019
,Duke Johnson,RB,HOU,"$1,800,000",2019
,Tyler Kroft,TE,BUF,"$1,800,000",2019
471.0,William Jackson,CB,CIN,"$1,773,497",2019
472.0,Artie Burns,CB,PIT,"$1,757,861",2019
473.0,Kwon Alexander,OLB,SFO,"$1,750,000",2019
,Joe Thomas,LB,DAL,"$1,750,000",2019
,Cody Davis,S,JAX,"$1,750,000",2019
,Rex Burkhead,RB,NWE,"$1,750,000",2019
,Ryan Tannehill,QB,TEN,"$1,750,000",2019
,Quinton Spain,OG,BUF,"$1,750,000",2019
479.0,Kenny Clark,DT,GNB,"$1,726,588",2019
480.0,Antoine Bethea,DB,NYG,"$1,725,000",2019
481.0,Deshaun Watson,QB,HOU,"$1,724,480",2019
482.0,Seth Roberts,WR,BAL,"$1,700,000",2019
,Jordan Mills,OT,ARI,"$1,700,000",2019
,Garrett Celek,TE,SFO,"$1,700,000",2019
