Rk,Player,Pos,Tm,Cap Hit
323.0,J.J. Wilcox,S,PIT,"$2,125,000"
324.0,Vance McDonald,TE,PIT,"$2,100,000"
,Mike Daniels,DT,GNB,"$2,100,000"
326.0,Connor Barwin,DE,LAR,"$2,000,000"
,Lorenzo Alexander,LB,BUF,"$2,000,000"
,Vince Williams,ILB,PIT,"$2,000,000"
,Josh Robinson,CB,TAM,"$2,000,000"
,Clinton McDonald,DT,TAM,"$2,000,000"
,Justin Bethel,CB,ARI,"$2,000,000"
,D.J. Hayden,CB,DET,"$2,000,000"
,Brice McCain,DB,TEN,"$2,000,000"
,Kyle Juszczyk,FB,SFO,"$2,000,000"
,Vernon Davis,TE,WAS,"$2,000,000"
,Matt Slauson,G,LAC,"$2,000,000"
,Robert Alford,CB,ATL,"$2,000,000"
,Jermaine Gresham,TE,ARI,"$2,000,000"
,Johnathan Cyprien,SS,TEN,"$2,000,000"
,Antoine Bethea,DB,ARI,"$2,000,000"
,Sylvester Williams,DT,TEN,"$2,000,000"
,Dion Sims,TE,CHI,"$2,000,000"
,D.J. Swearinger,FS,WAS,"$2,000,000"
,Brynden Trawick,S,TEN,"$2,000,000"
,Danny Trevathan,OLB,CHI,"$2,000,000"
,William Gay,DB,PIT,"$2,000,000"
,J.C. Tretter,OG,CLE,"$2,000,000"
,Paul Worrilow,LB,DET,"$2,000,000"
,Phil Dawson,K,ARI,"$2,000,000"
,Ted Ginn,WR,NOR,"$2,000,000"
,Brandon Carr,DB,BAL,"$2,000,000"
,Ben Ijalana,OL,NYJ,"$2,000,000"
353.0,Taylor Lewan,OT,TEN,"$1,986,136"
354.0,Kenny Stills,WR,MIA,"$1,975,000"
355.0,Marcus Sherels,DB,MIN,"$1,950,000"
,Marquise Goodwin,WR,SFO,"$1,950,000"
,Ed Dickson,TE,CAR,"$1,950,000"
358.0,Everson Griffen,DE,MIN,"$1,900,000"
,Brad Nortman,P,JAX,"$1,900,000"
,Landry Jones,QB,PIT,"$1,900,000"
,Kurt Coleman,LB,CAR,"$1,900,000"
362.0,Odell Beckham,WR,NYG,"$1,839,027"
363.0,Aaron Donald,DT,LAR,"$1,802,250"
364.0,Rex Burkhead,RB,NWE,"$1,800,000"
365.0,Donte Moncrief,WR,IND,"$1,797,000"
,John Brown,WR,ARI,"$1,797,000"
,Kerry Wynn,DE,NYG,"$1,797,000"
,Avery Williamson,ILB,TEN,"$1,797,000"
,Kevin Pamphile,OT,TAM,"$1,797,000"
,Shamar Stephen,DT,MIN,"$1,797,000"
,Aaron Colvin,CB,JAX,"$1,797,000"
,Damien Williams,RB,MIA,"$1,797,000"
,Chris Hubbard,G,PIT,"$1,797,000"
,Michael Thomas,S,MIA,"$1,797,000"
,DaQuan Jones,DT,TEN,"$1,797,000"
,Russell Bodine,OG,CIN,"$1,797,000"
,Anthony Hitchens,OLB,DAL,"$1,797,000"
,Justin Ellis,DT,OAK,"$1,797,000"
,Ryan Jensen,T,BAL,"$1,797,000"
,Cameron Fleming,OT,NWE,"$1,797,000"
,Terrance West,RB,BAL,"$1,797,000"
,Charles Leno,OG,CHI,"$1,797,000"
,Bashaud Breeland,CB,WAS,"$1,797,000"
,Aaron Lynch,DE,SFO,"$1,797,000"
,T.J. Carrie,CB,OAK,"$1,797,000"
,Albert Wilson,WR,KAN,"$1,797,000"
,Denico Autry,DE,OAK,"$1,797,000"
,Andre Hal,CB,HOU,"$1,797,000"
,Corey Linsley,C,GNB,"$1,797,000"
,Nevin Lawson,CB,DET,"$1,797,000"
,Telvin Smith,ILB,JAX,"$1,797,000"
,Maurice Alexander,SS,LAR,"$1,797,000"
,Michael Schofield,OT,LAC,"$1,797,000"
,Devon Kennard,OLB,NYG,"$1,797,000"
,William Compton,LB,WAS,"$1,797,000"
,Korey Toomer,ILB,LAC,"$1,797,000"
,E.J. Gaines,CB,BUF,"$1,797,000"
398.0,Zach Fulton,OG,KAN,"$1,788,500"
399.0,Richard Rodgers,TE,GNB,"$1,787,000"
,Spencer Long,OG,WAS,"$1,787,000"
401.0,Travis Swanson,C,DET,"$1,772,000"
402.0,Preston Brown,ILB,BUF,"$1,762,000"
403.0,Alan Branch,DT,NWE,"$1,750,000"
,Joe Hawley,G,TAM,"$1,750,000"
,Allen Barbre,T,DEN,"$1,750,000"
,Niles Paul,WR,WAS,"$1,750,000"
,Matt Moore,QB,MIA,"$1,750,000"
,Matt Cassel,QB,TEN,"$1,750,000"
,Scott Tolzien,QB,IND,"$1,750,000"
,Ryan Fitzpatrick,QB,TAM,"$1,750,000"
411.0,Ereck Flowers,OT,NYG,"$1,743,338"
412.0,Kyle Fuller,CB,CHI,"$1,740,955"
413.0,Jared Goff,QB,LAR,"$1,719,894"
414.0,Ryan Shazier,OLB,PIT,"$1,716,438"
415.0,Zach Strief,G,NOR,"$1,700,000"
,Larry Warford,OG,NOR,"$1,700,000"
,A.J. Klein,ILB,NOR,"$1,700,000"
,Ryan Hewitt,FB,CIN,"$1,700,000"
,Luke Stocker,TE,2TM,"$1,700,000"
,Max Unger,C,NOR,"$1,700,000"
421.0,Todd Gurley,RB,LAR,"$1,691,653"
422.0,Carson Wentz,QB,PHI,"$1,662,561"
423.0,Earl Mitchell,DT,SFO,"$1,650,000"
,Josh Hill,TE,NOR,"$1,650,000"
,Britton Colquitt,P,CLE,"$1,650,000"
426.0,Zack Martin,OT,DAL,"$1,642,882"
427.0,C.J. Mosley,ILB,BAL,"$1,618,365"
428.0,Trae Waynes,CB,MIN,"$1,611,761"
429.0,Giovani Bernard,RB,CIN,"$1,600,000"
,Steven Hauschka,K,BUF,"$1,600,000"
431.0,Eric Ebron,TE,DET,"$1,590,337"
432.0,Calvin Pryor,FS,JAX,"$1,587,716"
433.0,Ezekiel Elliott,RB,DAL,"$1,584,379"
434.0,Ja'Wuan James,OT,MIA,"$1,569,327"
435.0,Derek Anderson,QB,CAR,"$1,550,000"
,Zach Brown,OLB,WAS,"$1,550,000"
,Garrett Celek,TE,SFO,"$1,550,000"
,Josh Martin,LB,NYJ,"$1,550,000"
439.0,Desmond Trufant,CB,ATL,"$1,526,000"
440.0,Austin Howard,T,BAL,"$1,525,000"
441.0,Jalen Ramsey,FS,JAX,"$1,511,409"
442.0,Mike Gillislee,RB,NWE,"$1,500,000"
,Kelvin Beachum,T,NYJ,"$1,500,000"
,D.J. Fluker,OT,NYG,"$1,500,000"
,Levine Toilolo,TE,ATL,"$1,500,000"
,Zach Miller,TE,CHI,"$1,500,000"
,Jordan Poyer,CB,BUF,"$1,500,000"
,Jason McCourty,DB,CLE,"$1,500,000"
,Lerentee McCray,LB,JAX,"$1,500,000"
,Jahleel Addae,S,LAC,"$1,500,000"
,Alejandro Villanueva,OL,PIT,"$1,500,000"
,Chris Hairston,OL,LAC,"$1,500,000"
,Duron Harmon,FS,NWE,"$1,500,000"
,Ryan Groy,OG,BUF,"$1,500,000"
,Robbie Gould,K,SFO,"$1,500,000"
,Jamize Olawale,FB,OAK,"$1,500,000"
,Benson Mayowa,DE,DAL,"$1,500,000"
,Menelik Watson,OT,DEN,"$1,500,000"
,Barkevious Mingo,OLB,IND,"$1,500,000"
,John Simon,DE,IND,"$1,500,000"
,Anthony Fasano,TE,MIA,"$1,500,000"
,Chris Conte,DB,TAM,"$1,500,000"
,Bryan Anger,P,TAM,"$1,500,000"
,Keenan Robinson,OLB,NYG,"$1,500,000"
,Davon House,DB,GNB,"$1,500,000"
,Shane Lechler,P,HOU,"$1,500,000"
467.0,Danny Shelton,DT,CLE,"$1,498,970"
468.0,Jermon Bushrod,T,MIA,"$1,475,000"
469.0,Deone Bucannon,SS,ARI,"$1,471,255"
470.0,Jeff Heath,S,DAL,"$1,471,000"
471.0,Andrus Peat,OT,NOR,"$1,470,773"
472.0,Robert Golden,S,PIT,"$1,465,000"
473.0,Matt Bryant,K,ATL,"$1,450,000"
474.0,DeVante Parker,WR,MIA,"$1,423,776"
475.0,Melvin Gordon,RB,LAC,"$1,404,980"
476.0,Josh Kline,OL,TEN,"$1,400,000"
,Garry Gilliam,T,SFO,"$1,400,000"
,Jurrell Casey,DL,TEN,"$1,400,000"
,Alex Boone,T,ARI,"$1,400,000"
,Nate Allen,DB,MIA,"$1,400,000"
,Mike Remmers,T,MIN,"$1,400,000"
482.0,Ronnie Stanley,OT,BAL,"$1,381,106"
483.0,Greg Zuerlein,K,LAR,"$1,375,000"
484.0,Eddie Lacy,RB,SEA,"$1,365,000"
485.0,Teddy Bridgewater,QB,MIN,"$1,354,023"
486.0,Marcus Cannon,OL,NWE,"$1,350,000"
,Jordan Mills,OT,BUF,"$1,350,000"
,Michael Hoomanawanui,TE,NOR,"$1,350,000"
,Marshawn Lynch,RB,OAK,"$1,350,000"
,Eric Decker,WR,TEN,"$1,350,000"
,Erik Walden,DE,TEN,"$1,350,000"
,Nathan Stupar,OLB,NOR,"$1,350,000"
493.0,Kevin Johnson,CB,HOU,"$1,348,583"
494.0,Arik Armstead,DE,SFO,"$1,329,785"
495.0,Marcus Peters,CB,KAN,"$1,306,287"
496.0,Nick Perry,DE,GNB,"$1,300,000"
,Sean Lee,LB,DAL,"$1,300,000"
,Patrick DiMarco,FB,BUF,"$1,300,000"
,Andre Roberts,WR,ATL,"$1,300,000"
,Johnson Bademosi,DB,NWE,"$1,300,000"
,T.J. Johnson,C,CIN,"$1,300,000"
502.0,Devonta Freeman,RB,ATL,"$1,297,000"
,Morgan Moses,OT,WAS,"$1,297,000"
504.0,Travis Frederick,C,DAL,"$1,296,000"
505.0,Cameron Erving,OT,KAN,"$1,292,188"
506.0,Nelson Agholor,WR,PHI,"$1,287,489"
507.0,Cedric Ogbuehi,OT,CIN,"$1,282,789"
508.0,Ethan Westbrooks,DE,LAR,"$1,282,175"
509.0,DeForest Buckner,DE,SFO,"$1,276,863"
510.0,Tyron Smith,OT,DAL,"$1,275,000"
,Senio Kelemete,T,NOR,"$1,275,000"
512.0,Bud Dupree,DE,PIT,"$1,273,390"
513.0,Shane Ray,DE,DEN,"$1,263,991"
514.0,Tyler Bray,QB,KAN,"$1,252,500"
515.0,Karl Klug,DL,TEN,"$1,250,000"
,Akeem Spence,DT,DET,"$1,250,000"
,Kemal Ishmael,DB,ATL,"$1,250,000"
,Dont'a Hightower,ILB,NWE,"$1,250,000"
,Ben Watson,TE,BAL,"$1,250,000"
,Chris Maragos,DB,PHI,"$1,250,000"
,Kyle Wilber,OLB,DAL,"$1,250,000"
,Andre Smith,T,CIN,"$1,250,000"
,Michael Brockers,DT,LAR,"$1,250,000"
,Daren Bates,LB,TEN,"$1,250,000"
,Jack Crawford,DE,ATL,"$1,250,000"
